id,regionId,countryId,name,isInternational,startDay,endDay,eventIds
ISUJGPCourchevel2022,Courchevel,FRA,competition-isujgp-courchevel2022,true,2022/8/24,2022/8/27,JuniorMenSingle/JuniorWomenSingle
ISUJGPCzechSkate2022,Ostrava,CZE,competition-isujgp-czech-skate2022,true,2022/8/31,2022/9/3,JuniorMenSingle/JuniorWomenSingle
ISUJGPRigaCup2022,Riga,LAT,competition-isujgp-riga-cup2022,true,2022/9/7,2022/9/10,JuniorMenSingle/JuniorWomenSingle
ISUJGPArmenianCup2022,Yerevan,ARM,competition-isujgp-armenian-cup2022,true,2022/9/21,2022/9/24,JuniorMenSingle/JuniorWomenSingle
ISUJGPGdansk2022,Gdansk,POL,competition-isujgp-gdansk2022,true,2022/9/28,2022/10/1,JuniorMenSingle/JuniorWomenSingle
ISUJGPBalticCup2022,Gdansk,POL,competition-isujgp-baltic-cup2022,true,2022/10/5,2022/10/8,JuniorMenSingle/JuniorWomenSingle
ISUJGPEgnaNeumarkt2022,Egna,ITA,competition-isujgp-egna-neumarkt2022,true,2022/10/12,2022/10/15,JuniorMenSingle/JuniorWomenSingle
ISUGPSkateAmerica2022,Norwood,USA,competition-isugp-skate-america2022,true,2022/10/21,2022/10/23,SeniorMenSingle/SeniorWomenSingle
ISUGPSkateCanadaInternational2022,Mississauga,CAN,competition-isugp-skate-canada-international2022,true,2022/10/28,2022/10/30,SeniorMenSingle/SeniorWomenSingle
ISUGPGrandPrixdeFrancedePatinage2022,Angers,FRA,competition-isugp-grand-prixde-francede-patinage2022,true,2022/11/4,2022/11/6,SeniorMenSingle/SeniorWomenSingle
ISUGPMKJohnWilsonTrophy2022,Sheffield,GBR,competition-isugpmk-john-wilson-trophy2022,true,2022/11/11,2022/11/13,SeniorMenSingle/SeniorWomenSingle
ISUGPNHKTrophy2022,Sapporo,JPN,competition-isugpnhk-trophy2022,true,2022/11/18,2022/11/20,SeniorMenSingle/SeniorWomenSingle
ISUGPGrandPrixEspoo2022,Espoo,FIN,competition-isugp-grand-prix-espoo2022,true,2022/11/25,2022/11/27,SeniorMenSingle/SeniorWomenSingle
ISUGrandPrixAndJuniorGrandPrixFinal2022-23,Torino,ITA,competition-isu-grand-prix-and-junior-grand-prix-final2022-23,true,2022/12/8,2022/12/11,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle
ISUEuropeanChampionships2023,Espoo,FIN,competition-isu-european-championships2023,true,2023/1/23,2023/1/29,SeniorMenSingle/SeniorWomenSingle
ISUFourContinentsChampionships2023,ColoradoSprings,USA,competition-isu-four-continents-championships2023,true,2023/2/7,2023/2/12,SeniorMenSingle/SeniorWomenSingle
ISUWorldJuniorChampionships2023,Calgary,CAN,competition-isu-world-junior-championships2023,true,2023/2/27,2023/3/5,JuniorMenSingle/JuniorWomenSingle
ISUWorldChampionships2023,Saitama,JPN,competition-isu-world-championships2023,true,2023/3/20,2023/3/26,SeniorMenSingle/SeniorWomenSingle
KinoshitaGroupCupJapanOpen2022,Saitama,JPN,competition-kinoshita-group-cup-japan-open2022,true,2022/10/8,2022/10/8,SeniorMenSingle/SeniorWomenSingle
Tohoku-HokkaidoRegional,Aomori,JPN,competition-tohoku-hokkaido-regional,false,2022/10/7,2022/10/9,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle/NoviceAMenSingle/NoviceAWomenSingle/NoviceBMenSingle/NoviceBWomenSingle
KantoRegional,Tochigi,JPN,competition-kanto-regional,false,2022/9/22,2022/9/25,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle/NoviceAMenSingle/NoviceAWomenSingle/NoviceBMenSingle/NoviceBWomenSingle
TokyoRegional,Tokyo,JPN,competition-tokyo-regional,false,2022/9/29,2022/10/2,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle/NoviceAMenSingle/NoviceAWomenSingle/NoviceBMenSingle/NoviceBWomenSingle
ChubuRegional,Aichi,JPN,competition-chubu-regional,false,2022/9/23,2022/9/25,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle/NoviceAMenSingle/NoviceAWomenSingle/NoviceBMenSingle/NoviceBWomenSingle
KinkiRegional,Hyogo,JPN,competition-kinki-regional,false,2022/10/7,2022/10/10,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle/NoviceAMenSingle/NoviceAWomenSingle/NoviceBMenSingle/NoviceBWomenSingle
Chu-Shikoku-KyushuRegional,Okayama,JPN,competition-chu-shikoku-kyushu-regional,false,2022/9/29,2022/10/2,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle/NoviceAMenSingle/NoviceAWomenSingle/NoviceBMenSingle/NoviceBWomenSingle
NationalNovice,Hokkaido,JPN,competition-national-novice,false,2022/10/21,2022/10/23,NoviceAMenSingle/NoviceAWomenSingle/NoviceBMenSingle/NoviceBWomenSingle
EasternSection,Gunma,JPN,competition-eastern-section,false,2022/10/14,2022/10/16,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle
WesternSection,Kyoto,JPN,competition-western-section,false,2022/10/21,2022/10/23,SeniorMenSingle/SeniorWomenSingle/JuniorMenSingle/JuniorWomenSingle
NationalJunior,Ibaraki,JPN,competition-national-junior,false,2022/11/25,2022/11/27,JuniorMenSingle/JuniorWomenSingle
Nationals,Osaka,JPN,competition-nationals,false,2022/12/21,2022/12/25,SeniorMenSingle/SeniorWomenSingle
