id,category,description,important
JumpP1,Jump,«goe-plus-jump-p1»,true
JumpP2,Jump,«goe-plus-jump-p2»,true
JumpP3,Jump,«goe-plus-jump-p3»,true
JumpP4,Jump,«goe-plus-jump-p4»,false
JumpP5,Jump,«goe-plus-jump-p5»,false
JumpP6,Jump,«goe-plus-jump-p6»,false
SpinP1,Spin,«goe-plus-spin-p1»,true
SpinP2,Spin,«goe-plus-spin-p2»,true
SpinP3,Spin,«goe-plus-spin-p3»,true
SpinP4,Spin,«goe-plus-spin-p4»,false
SpinP7,Spin,«goe-plus-spin-p7»,false
SpinP6,Spin,«goe-plus-spin-p6»,false
StepSequenceP1,StepSequence,«goe-plus-step-sequence-p1»,true
StepSequenceP2,StepSequence,«goe-plus-step-sequence-p2»,true
StepSequenceP3,StepSequence,«goe-plus-step-sequence-p3»,true
StepSequenceP4,StepSequence,«goe-plus-step-sequence-p4»,false
StepSequenceP5,StepSequence,«goe-plus-step-sequence-p5»,false
StepSequenceP6,StepSequence,«goe-plus-step-sequence-p6»,false
ChoreographicSequenceP2,ChoreographicSequence,«goe-plus-choreographic-sequence-p2»,true
ChoreographicSequenceP7,ChoreographicSequence,«goe-plus-choreographic-sequence-p7»,true
ChoreographicSequenceP3,ChoreographicSequence,«goe-plus-choreographic-sequence-p3»,true
ChoreographicSequenceP8,ChoreographicSequence,«goe-plus-choreographic-sequence-p8»,false
ChoreographicSequenceP5,ChoreographicSequence,«goe-plus-choreographic-sequence-p5»,false
ChoreographicSequenceP6,ChoreographicSequence,«goe-plus-choreographic-sequence-p6»,false
