id,name,jump,elementPlaceableIds
Jump,element-placeable-set-jump,true,JumpAll
Jump2Combination,element-placeable-set-jump2-combination,true,Jump1234/JumpTLoA
Jump3Combination,element-placeable-set-jump3-combination,true,Jump1234/JumpTLoAEu/Jump1234
Jump2A,element-placeable-set-jump2a,true,Jump2A
Jump23Lo,element-placeable-set-jump23lo,true,Jump23Lo
Jump23Lz,element-placeable-set-jump23lz,true,Jump23Lz
Jump23F,element-placeable-set-jump23f,true,Jump23F
Jump23A,element-placeable-set-jump23a,true,Jump23A
Jump34,element-placeable-set-jump34,true,Jump34
Jump3,element-placeable-set-jump3,true,Jump3
Jump22-23-33Combination,element-placeable-set-jump22-23-33-combination,true,Jump23/Jump23TLo
Jump23-33Combination,element-placeable-set-jump23-33-combination,true,Jump23/Jump3TLo
Jump23-33-42-43Combination,element-placeable-set-jump23-33-42-43-combination,true,Jump234/Jump23TLo
SpinOneposition,element-placeable-set-spin-oneposition,false,SpinOneposition
SpinOnepositionFlying,element-placeable-set-spin-oneposition-flying,false,SpinOnepositionFlying
SpinOnepositionCamelSitLayback,element-placeable-set-spin-oneposition-camel-sit-layback,false,SpinOnepositionCamelSitLayback
SpinOnepositionCamelSitLaybackNoflying,element-placeable-set-spin-oneposition-camel-sit-layback-noflying,false,SpinOnepositionCamelSitLaybackNoflying
SpinOnepositionCamelLaybackNoflying,element-placeable-set-spin-oneposition-camel-layback-noflying,false,SpinOnepositionCamelLaybackNoflying
SpinOnepositionSitLaybackNoflying,element-placeable-set-spin-oneposition-sit-layback-noflying,false,SpinOnepositionSitLaybackNoflying
SpinFlying,element-placeable-set-spin-flying,false,SpinFlying
SpinCombination,element-placeable-set-spin-combination,false,SpinCombination
SpinCombinationChangefootNoflying,element-placeable-set-spin-combination-changefoot-noflying,false,SpinCombinationChangefootNoflying
SpinCombinationNoflying,element-placeable-set-spin-combination-noflying,false,SpinCombinationNoflying
SpinCamelFlying,element-placeable-set-spin-camel-flying,false,SpinCamelFlying
SpinCamelChangefootNoflying,element-placeable-set-spin-camel-changefoot-noflying,false,SpinCamelChangefootNoflying
SpinCamelSitNoflying,element-placeable-set-spin-camel-sit-noflying,false,SpinCamelSitNoflying
SpinCamelSitChangefootNoflying,element-placeable-set-spin-camel-sit-changefoot-noflying,false,SpinCamelSitChangefootNoflying
SpinSitFlying,element-placeable-set-spin-sit-flying,false,SpinSitFlying
SpinSitChangefootNoflying,element-placeable-set-spin-sit-changefoot-noflying,false,SpinSitChangefootNoflying
StepSequence,element-placeable-set-step-sequence,false,StepSequence
ChoreographicSequence,element-placeable-set-choreographic-sequence,false,ChoreographicSequence
